Publisher,Type
Business Insider,Guaranteed Placement
InsiderTracking (INK Research),Guaranteed Placement
Yahoo Finance,Guaranteed Placement
Yahoo Finance Canada,Guaranteed Placement
Yahoo Finance Spain (Yahoo Finanzas),Guaranteed Placement
Benzinga,Guaranteed Placement
Apple News,Guaranteed Placement
Associated Press (AP),Guaranteed Placement
Barchart.com,Guaranteed Placement
Marketwatch,Guaranteed Placement
The Globe and Mail,Guaranteed Placement
StreetInsider.com,Guaranteed Placement
Digital Journal,Guaranteed Placement
National Post,Guaranteed Placement
Financial Post,Guaranteed Placement
Dow Jones Factiva,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Thomson Reuters Newsroom and Terminals,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Canadian Insider,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Bloomberg Terminal,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Postmedia,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Newsfile Corp.,Guaranteed Placement
Central Charts,Guaranteed Placement
FinanzNachrichten,Guaranteed Placement
INK Research,Guaranteed Placement
Canada.com,Guaranteed Placement
Canoe.com,Guaranteed Placement
Windsor Star,Guaranteed Placement
London Free Press,Guaranteed Placement
Toronto Sun,Guaranteed Placement
Ottawa Citizen,Guaranteed Placement
Ottawa Sun,Guaranteed Placement
Montreal Gazette,Guaranteed Placement
The Province,Guaranteed Placement
Vancouver Sun,Guaranteed Placement
Regina Leader Post,Guaranteed Placement
Saskatoon Star Phoenix,Guaranteed Placement
Winnipeg Sun,Guaranteed Placement
Calgary Herald,Guaranteed Placement
Calgary Sun,Guaranteed Placement
Edmonton Journal,Guaranteed Placement
Edmonton Sun,Guaranteed Placement
Airdrie Echo,Guaranteed Placement
Belleville Intelligencer,Guaranteed Placement
Bow Valley Crag & Canyon,Guaranteed Placement
Brantford Expositor,Guaranteed Placement
Brockville Recorder & Times,Guaranteed Placement
Chatham Daily News,Guaranteed Placement
Chatham This Week,Guaranteed Placement
Clinton News Record,Guaranteed Placement
Cochrane Times,Guaranteed Placement
Cochrane Times-Post,Guaranteed Placement
Cold Lake Sun,Guaranteed Placement
Cornwall Standard-Freeholder,Guaranteed Placement
County Market,Guaranteed Placement
Devon Dispatch,Guaranteed Placement
Drayton Valley Western Review,Guaranteed Placement
Edmonton Examiner,Guaranteed Placement
Elliot Lake Standard,Guaranteed Placement
Exeter Lakeshore Times Advance,Guaranteed Placement
Fairview Post,Guaranteed Placement
Fort Mcmurray Today,Guaranteed Placement
Fort Saskatchewan Record,Guaranteed Placement
Gananoque Reporter,Guaranteed Placement
Goderich Signal Star,Guaranteed Placement
Grande Prairie Daily Herald Tribune,Guaranteed Placement
Grey Bruce This Week,Guaranteed Placement
Hanna Herald,Guaranteed Placement
Hanover Post,Guaranteed Placement
High River Times,Guaranteed Placement
Kenora Miner,Guaranteed Placement
Kincardine News,Guaranteed Placement
Kingston/Frontenac This Week,Guaranteed Placement
La Nouvelle Beaumont News,Guaranteed Placement
Leduc Representative,Guaranteed Placement
Lucknow Sentinel,Guaranteed Placement
Mayerthorpe Freelancer,Guaranteed Placement
Melfort Journal,Guaranteed Placement
Mid-North Monitor,Guaranteed Placement
Mitchell Advocate,Guaranteed Placement
Nanton News,Guaranteed Placement
Nipawin Journal,Guaranteed Placement
North Bay Nugget,Guaranteed Placement
Northern News,Guaranteed Placement
Ontario Farmer,Guaranteed Placement
Owen Sound Sun Times,Guaranteed Placement
Peace River Record Gazette,Guaranteed Placement
Pembroke Observer,Guaranteed Placement
Pincher Creek Echo,Guaranteed Placement
Prince George Post,Guaranteed Placement
Sarnia & Lambton County This Week,Guaranteed Placement
Sault Star,Guaranteed Placement
Sault This Week,Guaranteed Placement
Seaforth Huron Expositor,Guaranteed Placement
Sherwood Park News,Guaranteed Placement
Simcoe Reformer,Guaranteed Placement
Spruce Grove Examiner,Guaranteed Placement
St. Thomas Times-Journal,Guaranteed Placement
Stony Plain Reporter,Guaranteed Placement
Strathroy Age Dispatch,Guaranteed Placement
Sudbury Star,Guaranteed Placement
The Community Press,Guaranteed Placement
The County Weekly News,Guaranteed Placement
The Daily Press,Guaranteed Placement
The Graphic Leader,Guaranteed Placement
The Kingston Whig Standard,Guaranteed Placement
The Londoner,Guaranteed Placement
The Napanee Guide,Guaranteed Placement
The Paris Star,Guaranteed Placement
The Peace Country Sun,Guaranteed Placement
The Sarnia Observer,Guaranteed Placement
The Shoreline Beacon,Guaranteed Placement
The Stratford Beacon Herald,Guaranteed Placement
The West Elgin Chronicle,Guaranteed Placement
The Woodstock Sentinel Review,Guaranteed Placement
Tillsonburg News,Guaranteed Placement
Timmins Times,Guaranteed Placement
Today'S Farmer,Guaranteed Placement
Trenton Trentonian,Guaranteed Placement
Vermilion Standard,Guaranteed Placement
Vulcan Advocate,Guaranteed Placement
Wallaceburg Courier Press,Guaranteed Placement
Wetaskiwin Times,Guaranteed Placement
Whitecourt Star,Guaranteed Placement
Wiarton Echo,Guaranteed Placement
1st Discount Brokerage,Guaranteed Placement
Benton Courier,Guaranteed Placement
Big Spring Herald,Guaranteed Placement
Bingham News Chronicle,Guaranteed Placement
Borger News-Herald,Guaranteed Placement
Boston Herald,Guaranteed Placement
BPAS,Guaranteed Placement
Burlingame.com,Guaranteed Placement
CorteMadera.com,Guaranteed Placement
Custer County Chief,Guaranteed Placement
Daily Times Leader,Guaranteed Placement
DalyCity.com,Guaranteed Placement
Decatur Daily Democrat,Guaranteed Placement
Deer Park Tribune,Guaranteed Placement
Fat Pitch Financials,Guaranteed Placement
Franklin Credit Management Corporation,Guaranteed Placement
Great American Advisors,Guaranteed Placement
International Business Times,Guaranteed Placement
Inyo Register,Guaranteed Placement
Kane Republican,Guaranteed Placement
Kelowna Daily Courier,Guaranteed Placement
Livermore.com,Guaranteed Placement
LosAltos.com,Guaranteed Placement
Malvern Daily Record,Guaranteed Placement
Mammoth Times,Guaranteed Placement
MenloPark.com,Guaranteed Placement
MillValley.com,Guaranteed Placement
Minster Community Post,Guaranteed Placement
myMotherLode.com California Gold Country,Guaranteed Placement
NewsOK,Guaranteed Placement
Observer News Enterprise,Guaranteed Placement
Penticton Herald,Guaranteed Placement
Pittsburgh Post-Gazette,Guaranteed Placement
Pleasanton.com,Guaranteed Placement
Poteau Daily News,Guaranteed Placement
Press-Telegram,Guaranteed Placement
Ridgway Record,Guaranteed Placement
